station_id,source_record_id,station_name,address,postcode,latitude,longitude,operator_name,data_provider,operational_status,number_of_evses,number_of_connectors,maximum_power_kw,access_type,usage_cost,source_url,source_last_updated,licence,attribution,verification_status,verification_notes,boundary_status,boundary_authority_code,boundary_authority_name,boundary_dataset,boundary_filter_timestamp,boundary_filter_version
airis_fbe76f33818eb3334d19,52910,NCP Pellet Street,"Pellet Street, Cardiff",CF10 4FF,51.478298,-3.17032,BP Pulse (UK),Open Charge Map Contributors,operational,3.0,4.0,3.0,public,£0.59/kWh; other tariffs available. Parking fees apply,https://openchargemap.org/site/poi/details/52910,2023-04-03T17:00:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_d560a303a4821d0f562e,285778,Sophia Gardens,"Sophia Gardens, Cardiff",CF11 9HW,51.483564,-3.189366,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/285778,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_046f7aff802305a339e7,47246,NCP Dumfries Place,"Dumfries Place, Cardiff",CF10 3FN,51.478001,-3.16922,BP Pulse (UK),Open Charge Map Contributors,operational,2.0,4.0,7.0,public,Inclusive; for Polar Plus subscription members only. Parking fees apply,https://openchargemap.org/site/poi/details/47246,2019-03-06T06:32:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_fc45ad043e668a3af5cd,259924,King Edward Vii Avenue,"King Edward Vii Avenue, Cardiff",CF10 3NB,51.488436,-3.183733,Osprey Charging,Open Charge Map Contributors,operational,2.0,4.0,50.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/259924,2024-08-13T17:05:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_d508e2db52a6b7675cbb,259891,Howard Place,"Howard Place, Cardiff",CF24 0DE,51.48399914,-3.166332585,Osprey Charging,Open Charge Map Contributors,operational,4.0,4.0,50.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/259891,2024-08-13T17:03:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_0ece004f3926dd3d2f6a,117888,Ibis Budget Cardiff,"Ibis Budget Cardiff, Tyndall Street, Cardiff",CF10 4BE,51.476021,-3.168791,BP Pulse (UK),Open Charge Map Contributors,operational,1.0,1.0,4.0,public,Inclusive; for Polar Plus subscription members only,https://openchargemap.org/site/poi/details/117888,2019-03-08T06:39:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_67b9d9f5c7480b12a7ed,200352,Mardy Street,"Mardy Street, Cardiff",CF11 6RD,51.474088,-3.185956,Evolt Network (Swarco E.Connect),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/200352,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_0866395be71fb88857e7,252001,DRAX00238,"Tyndall Street, Cardiff",CF10 4BE,51.47672,-3.16755,Drax Energy Solutions Limited,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/252001,2023-05-04T08:42:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_2750ce20495a08e07ec8,132454,Rennie Street,"Rennie Street, Cardiff",CF11 6EG,51.4788,-3.1951,Evolt Network (Swarco E.Connect),Open Charge Map Contributors,operational,2.0,2.0,7.0,public,£0.31/kWh,https://openchargemap.org/site/poi/details/132454,2019-10-02T08:28:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_e087bdf6460b769e5d24,285830,North Road,"North Road Car Park, Cardiff",CF10 3DY,51.490523,-3.188036,Connected Kerb,UK National Charge Point Registry,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285830,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_92d27599db462d7026d2,136139,Maindy Road,"Maindy Road, Cardiff",CF24 4HQ,51.49265,-3.18381,Evolt Network (Swarco E.Connect),UK National Charge Point Registry,,,,7.0,public,,https://openchargemap.org/site/poi/details/136139,2023-12-07T08:10:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_3aae53b1edc64850567b,214123,DRAX00165,"Schooner Way, Cardiff",CF10 4RT,51.47301,-3.16607,Drax Energy Solutions Limited,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/214123,2023-05-04T08:42:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,inside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
