station_id,source_record_id,station_name,address,postcode,latitude,longitude,operator_name,data_provider,operational_status,number_of_evses,number_of_connectors,maximum_power_kw,access_type,usage_cost,source_url,source_last_updated,licence,attribution,verification_status,verification_notes,boundary_status,boundary_authority_code,boundary_authority_name,boundary_dataset,boundary_filter_timestamp,boundary_filter_version
airis_f9fb5adefea17e466ef5,92837,The Hyundai Centre-Hutchings Hyundai,"The Hyundai Centre, Pontypridd",CF37 5YH,51.575511,-3.295223,POD Point (UK),Open Charge Map Contributors,unknown,3.0,3.0,7.0,private,Free,https://openchargemap.org/site/poi/details/92837,2023-10-09T13:14:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_939a30ba62d8a32914cd,112843,Holiday Inn Express Newport,"Lakeside Drive, Duffryn, Newport",NP10 8BB,51.5606,-3.0361,BP Pulse (UK),Open Charge Map Contributors,operational,1.0,3.0,50.0,public,£0.79/kWh; other tariffs available,https://openchargemap.org/site/poi/details/112843,2023-08-23T10:25:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_13419708f486da301376,285485,"Porthkerry Park, Barry","Porthkerry Park Car Park, Vale Of Glamorgan, Barry",CF62 3BY,51.393979,-3.315205,Connected Kerb,UK National Charge Point Registry,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/285485,2023-12-07T08:09:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_4696ee808a6fd0706a76,286412,"Llantwit Fardre Leisure Centre, Pontypridd","Llantwit Fardre Leisure Centre, Cardiff",CF38 1DN,51.567693,-3.3184,Connected Kerb,UK National Charge Point Registry,unknown,,,22.0,public,,https://openchargemap.org/site/poi/details/286412,2023-12-07T08:11:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_471c601dcf47790adba9,286475,Tesco Extra - Pontypridd,"Gelli-Hirion Industrial Estate, Pontypridd",CF37 5SN,51.580388,-3.296328,POD Point (UK),Open Charge Map Contributors,unknown,,,7.0,public,,https://openchargemap.org/site/poi/details/286475,2025-03-10T06:37:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_bcf0c94d6d53367c5fe7,31389,National Trust Tredegar House,"Newport, South Wales",NP10 8YW,51.561601,-3.028106,Zero Carbon World,Open Charge Map Contributors,operational,1.0,1.0,7.0,public,,https://openchargemap.org/site/poi/details/31389,2015-06-01T19:55:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_090ca116cb6d683cefe0,200715,Abertridwr Library,"Aberfawr Rd, Abertridwr",CF83 4EJ,51.595,-3.26841,Silverstone Green Energy,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/200715,2023-05-04T08:49:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_1d61ceeb46effedc34a0,157910,Concept House,"South Wales, Newport",NP10 8QQ,51.567146,-3.029248,BP Pulse (UK),UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/157910,2023-05-04T08:49:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_267ec86eab9a28ca2261,259992,Hawthorn Inn,"Hawthorn Inn, Pontypridd",CF37 5AG,51.580159,-3.307423,Osprey Charging,Open Charge Map Contributors,operational,4.0,6.0,75.0,public,£0.79/kWh,https://openchargemap.org/site/poi/details/259992,2024-05-20T11:21:00Z,Licensed under Creative Commons Attribution 4.0 International (CC BY 4.0),Open Charge Map; Data Provider: Open Charge Map Contributors,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
airis_b1fdff4e2221e406c7b3,200729,Station Road Car Park,"Station Road, Llanbradach",CF83 3LF,51.6044,-3.23128,Silverstone Green Energy,UK National Charge Point Registry,,,,22.0,public,,https://openchargemap.org/site/poi/details/200729,2023-05-04T08:49:00Z,Contains public sector information licensed under the Open Government Licence v2.0.,Open Charge Map; Data Provider: UK National Charge Point Registry,unreviewed,,outside,W06000015,Cardiff,Local Authorities - High Water mark,2026-07-20T17:47:54.131690+00:00,1.0.0
